chapter,word,meaning
假日休息（休閒社交）,reservation,預訂
假日休息（休閒社交）,entertainment,娛樂
假日休息（休閒社交）,relax,放鬆
假日休息（休閒社交）,weekend,週末
假日休息（休閒社交）,hang out,出去玩／聚會
銷售策略（行銷 1）,advertisement,廣告
銷售策略（行銷 1）,campaign,行銷活動
銷售策略（行銷 1）,brand,品牌
銷售策略（行銷 1）,product,產品
銷售策略（行銷 1）,target,目標對象
銷售策略（行銷 1）,market,市場
銷售策略（行銷 1）,promotion,促銷
銷售策略（行銷 1）,discount,折扣
銷售策略（行銷 1）,strategy,策略
銷售策略（行銷 1）,commercial,商業廣告
銷售策略（行銷 1）,price,價格
銷售策略（行銷 1）,competitor,競爭者
銷售策略（行銷 1）,customer,顧客
銷售策略（行銷 1）,feature,特點
銷售策略（行銷 1）,launch,推出（新產品）
國際行銷（行銷 2）,global,全球的
國際行銷（行銷 2）,export,出口
國際行銷（行銷 2）,import,進口
國際行銷（行銷 2）,trade,貿易
國際行銷（行銷 2）,region,地區
國際行銷（行銷 2）,expand,擴展
國際行銷（行銷 2）,overseas,海外的
國際行銷（行銷 2）,shipment,裝運
國際行銷（行銷 2）,partner,合作夥伴
國際行銷（行銷 2）,deal,交易
國際行銷（行銷 2）,license,授權
國際行銷（行銷 2）,agreement,協議
國際行銷（行銷 2）,foreign,外國的
國際行銷（行銷 2）,distributor,經銷商
國際行銷（行銷 2）,quota,配額／限額
挽救經濟（經濟）,economy,經濟
挽救經濟（經濟）,inflation,通貨膨脹
挽救經濟（經濟）,recession,衰退
挽救經濟（經濟）,growth,成長
挽救經濟（經濟）,interest rate,利率
挽救經濟（經濟）,unemployment,失業率
挽救經濟（經濟）,budget,預算
挽救經濟（經濟）,investment,投資
挽救經濟（經濟）,profit,利潤
挽救經濟（經濟）,revenue,收入
挽救經濟（經濟）,cost,成本
挽救經濟（經濟）,tax,稅
挽救經濟（經濟）,policy,政策
挽救經濟（經濟）,stimulus,刺激方案
挽救經濟（經濟）,crisis,危機
購物高手（購物）,price,價格
購物高手（購物）,sale,特賣
購物高手（購物）,discount,折扣
購物高手（購物）,refund,退款
購物高手（購物）,receipt,收據
購物高手（購物）,purchase,購買
購物高手（購物）,item,商品
購物高手（購物）,cashier,收銀員
購物高手（購物）,cart,購物車
購物高手（購物）,customer,顧客
購物高手（購物）,exchange,換貨
購物高手（購物）,store,商店
購物高手（購物）,checkout,結帳
購物高手（購物）,product,產品
購物高手（購物）,warranty,保固
新產品上市（產品開發）,launch,上市、推出
新產品上市（產品開發）,prototype,原型
新產品上市（產品開發）,develop,開發
新產品上市（產品開發）,test,測試
新產品上市（產品開發）,feature,特徵
新產品上市（產品開發）,innovate,創新
新產品上市（產品開發）,design,設計
新產品上市（產品開發）,engineer,工程師
新產品上市（產品開發）,research,研究
新產品上市（產品開發）,trial,試用
新產品上市（產品開發）,improvement,改進
新產品上市（產品開發）,feedback,回饋
新產品上市（產品開發）,function,功能
新產品上市（產品開發）,version,版本
新產品上市（產品開發）,modification,修改
工廠自動化（生產）,manufacture,製造
工廠自動化（生產）,automation,自動化
工廠自動化（生產）,machinery,機械設備
工廠自動化（生產）,assembly line,組裝線
工廠自動化（生產）,productivity,生產力
工廠自動化（生產）,process,製程
工廠自動化（生產）,operate,操作
工廠自動化（生產）,technician,技術員
工廠自動化（生產）,factory,工廠
工廠自動化（生產）,output,產量
工廠自動化（生產）,defect,瑕疵
工廠自動化（生產）,inspection,檢查
工廠自動化（生產）,equipment,設備
工廠自動化（生產）,efficiency,效率
工廠自動化（生產）,production,生產
顧客至上（顧客服務）,customer,顧客
顧客至上（顧客服務）,service,服務
顧客至上（顧客服務）,complaint,抱怨
顧客至上（顧客服務）,support,支援
顧客至上（顧客服務）,representative,服務人員
顧客至上（顧客服務）,hotline,熱線
顧客至上（顧客服務）,inquiry,詢問
顧客至上（顧客服務）,satisfaction,滿意度
顧客至上（顧客服務）,refund,退款
顧客至上（顧客服務）,apologize,道歉
顧客至上（顧客服務）,resolve,解決
顧客至上（顧客服務）,policy,政策
顧客至上（顧客服務）,feedback,意見
顧客至上（顧客服務）,loyalty,忠誠度
顧客至上（顧客服務）,response,回應
出差的目的（旅遊、機場）,itinerary,行程表
出差的目的（旅遊、機場）,flight,班機
出差的目的（旅遊、機場）,reservation,預約
出差的目的（旅遊、機場）,luggage,行李
出差的目的（旅遊、機場）,boarding pass,登機證
出差的目的（旅遊、機場）,departure,出發
出差的目的（旅遊、機場）,arrival,抵達
出差的目的（旅遊、機場）,passport,護照
出差的目的（旅遊、機場）,business trip,商務旅行
出差的目的（旅遊、機場）,travel agency,旅行社
出差的目的（旅遊、機場）,airline,航空公司
出差的目的（旅遊、機場）,terminal,航廈
出差的目的（旅遊、機場）,delay,延誤
出差的目的（旅遊、機場）,customs,海關
出差的目的（旅遊、機場）,transportation,交通工具
談判的鬼才（契約）,contract,合約
談判的鬼才（契約）,negotiation,談判
談判的鬼才（契約）,agreement,協議
談判的鬼才（契約）,term,條款
談判的鬼才（契約）,clause,條文
談判的鬼才（契約）,party,當事人
談判的鬼才（契約）,sign,簽署
談判的鬼才（契約）,condition,條件
談判的鬼才（契約）,renewal,更新
談判的鬼才（契約）,duration,期間
談判的鬼才（契約）,enforce,執行
談判的鬼才（契約）,dispute,爭議
談判的鬼才（契約）,settlement,和解
談判的鬼才（契約）,obligation,義務
談判的鬼才（契約）,consent,同意
貿易協定（商業）,trade,貿易
貿易協定（商業）,agreement,協定
貿易協定（商業）,tariff,關稅
貿易協定（商業）,import,進口
貿易協定（商業）,export,出口
貿易協定（商業）,partner,夥伴
貿易協定（商業）,market,市場
貿易協定（商業）,deal,交易
貿易協定（商業）,supply,供應
貿易協定（商業）,demand,需求
貿易協定（商業）,distributor,經銷商
貿易協定（商業）,wholesale,批發
貿易協定（商業）,retail,零售
貿易協定（商業）,negotiation,談判
貿易協定（商業）,foreign,國外的
限時配送（貿易、貨運）,delivery,配送
限時配送（貿易、貨運）,shipment,裝運
限時配送（貿易、貨運）,logistics,物流
限時配送（貿易、貨運）,courier,快遞員
限時配送（貿易、貨運）,tracking,追蹤
限時配送（貿易、貨運）,warehouse,倉庫
限時配送（貿易、貨運）,inventory,庫存
限時配送（貿易、貨運）,delay,延遲
限時配送（貿易、貨運）,express,快速的
限時配送（貿易、貨運）,dispatch,發貨
限時配送（貿易、貨運）,package,包裹
限時配送（貿易、貨運）,address,地址
限時配送（貿易、貨運）,receive,收到
限時配送（貿易、貨運）,fragile,易碎的
限時配送（貿易、貨運）,freight,貨運
特別料理（住宿、餐廳）,reservation,預約
特別料理（住宿、餐廳）,check-in,辦理入住
特別料理（住宿、餐廳）,suite,套房
特別料理（住宿、餐廳）,guest,賓客
特別料理（住宿、餐廳）,room service,客房服務
特別料理（住宿、餐廳）,restaurant,餐廳
特別料理（住宿、餐廳）,cuisine,菜餚
特別料理（住宿、餐廳）,chef,主廚
特別料理（住宿、餐廳）,buffet,自助餐
特別料理（住宿、餐廳）,server,服務員
特別料理（住宿、餐廳）,appetizer,前菜
特別料理（住宿、餐廳）,entrée,主餐
特別料理（住宿、餐廳）,dessert,甜點
特別料理（住宿、餐廳）,bill,帳單
特別料理（住宿、餐廳）,tip,小費
獎金呢？（收益）,income,收入
獎金呢？（收益）,salary,薪水
獎金呢？（收益）,bonus,獎金
獎金呢？（收益）,raise,加薪
獎金呢？（收益）,commission,佣金
獎金呢？（收益）,earnings,收益
獎金呢？（收益）,compensation,報酬
獎金呢？（收益）,incentive,獎勵
獎金呢？（收益）,paycheck,薪資支票
獎金呢？（收益）,gross,總額
獎金呢？（收益）,net,淨額
獎金呢？（收益）,deduction,扣除
獎金呢？（收益）,benefit,福利
獎金呢？（收益）,overtime,加班
獎金呢？（收益）,allowance,津貼
節省經費（會計）,budget,預算
節省經費（會計）,expense,支出
節省經費（會計）,cost,成本
節省經費（會計）,revenue,收入
節省經費（會計）,audit,審計
節省經費（會計）,balance,平衡
節省經費（會計）,financial,財務的
節省經費（會計）,accountant,會計師
節省經費（會計）,record,記錄
節省經費（會計）,report,報告
節省經費（會計）,tax,稅
節省經費（會計）,deduction,扣除額
節省經費（會計）,payment,付款
節省經費（會計）,invoice,發票
節省經費（會計）,savings,儲蓄
辦公室氣氛（公司動向）,colleague,同事
辦公室氣氛（公司動向）,department,部門
辦公室氣氛（公司動向）,promotion,升遷
辦公室氣氛（公司動向）,transfer,調職
辦公室氣氛（公司動向）,announcement,公告
辦公室氣氛（公司動向）,resignation,辭職
辦公室氣氛（公司動向）,company policy,公司政策
辦公室氣氛（公司動向）,expansion,擴展
辦公室氣氛（公司動向）,restructuring,重組
辦公室氣氛（公司動向）,teamwork,團隊合作
辦公室氣氛（公司動向）,boss,老闆
辦公室氣氛（公司動向）,management,管理層
辦公室氣氛（公司動向）,leadership,領導能力
辦公室氣氛（公司動向）,motivation,動力
辦公室氣氛（公司動向）,internal communication,內部溝通
緊急會議（會議）,meeting,會議
緊急會議（會議）,urgent,緊急的
緊急會議（會議）,agenda,議程
緊急會議（會議）,minutes,會議紀錄
緊急會議（會議）,conference,大會
緊急會議（會議）,presentation,簡報
緊急會議（會議）,attend,出席
緊急會議（會議）,postpone,延後
緊急會議（會議）,reschedule,重新排程
緊急會議（會議）,discuss,討論
緊急會議（會議）,proposal,提案
緊急會議（會議）,consensus,共識
緊急會議（會議）,chairperson,主持人
緊急會議（會議）,decision,決議
緊急會議（會議）,follow-up,後續行動
將心比心（員工福利）,benefit,福利
將心比心（員工福利）,insurance,保險
將心比心（員工福利）,subsidy,補助
將心比心（員工福利）,well-being,福祉
將心比心（員工福利）,work-life balance,工作與生活平衡
將心比心（員工福利）,mental health,心理健康
將心比心（員工福利）,incentive,激勵措施
將心比心（員工福利）,bonus,獎金
將心比心（員工福利）,vacation,休假
將心比心（員工福利）,leave,請假
將心比心（員工福利）,health check,健康檢查
將心比心（員工福利）,retirement plan,退休計畫
將心比心（員工福利）,flexible hours,彈性工時
將心比心（員工福利）,support,支援
將心比心（員工福利）,appreciation,感激
升遷第一天（人事異動）,promotion,升遷
升遷第一天（人事異動）,transfer,調職
升遷第一天（人事異動）,new position,新職位
升遷第一天（人事異動）,colleague,同事
升遷第一天（人事異動）,mentor,導師
升遷第一天（人事異動）,introduction,介紹
升遷第一天（人事異動）,responsibility,職責
升遷第一天（人事異動）,leadership,領導力
升遷第一天（人事異動）,policy,政策
升遷第一天（人事異動）,procedure,程序
升遷第一天（人事異動）,orientation,新手訓練
升遷第一天（人事異動）,department,部門
升遷第一天（人事異動）,HR,人資
升遷第一天（人事異動）,appointment,任命
升遷第一天（人事異動）,performance,績效
開車（交通）,drive,開車
開車（交通）,license,駕照
開車（交通）,traffic,交通
開車（交通）,intersection,路口
開車（交通）,accident,事故
開車（交通）,GPS,導航
開車（交通）,seatbelt,安全帶
開車（交通）,highway,高速公路
開車（交通）,parking,停車
開車（交通）,commute,通勤
開車（交通）,fuel,燃料
開車（交通）,vehicle,車輛
開車（交通）,driver,駕駛
開車（交通）,road sign,路標
開車（交通）,violation,違規
存款與盡孝（銀行）,deposit,存款
存款與盡孝（銀行）,withdraw,提款
存款與盡孝（銀行）,bank account,銀行帳戶
存款與盡孝（銀行）,interest,利息
存款與盡孝（銀行）,ATM,自動提款機
存款與盡孝（銀行）,balance,餘額
存款與盡孝（銀行）,savings,儲蓄
存款與盡孝（銀行）,loan,貸款
存款與盡孝（銀行）,mortgage,房貸
存款與盡孝（銀行）,transfer,轉帳
存款與盡孝（銀行）,fee,手續費
存款與盡孝（銀行）,bank teller,櫃員
存款與盡孝（銀行）,debit card,提款卡
存款與盡孝（銀行）,credit card,信用卡
存款與盡孝（銀行）,passbook,存摺
友情與投資（投資）,investment,投資
友情與投資（投資）,stock,股票
友情與投資（投資）,bond,債券
友情與投資（投資）,risk,風險
友情與投資（投資）,dividend,股利
友情與投資（投資）,return,報酬
友情與投資（投資）,portfolio,投資組合
友情與投資（投資）,broker,經紀人
友情與投資（投資）,shareholder,股東
友情與投資（投資）,capital,資本
友情與投資（投資）,interest,利息
友情與投資（投資）,market,市場
友情與投資（投資）,profit,利潤
友情與投資（投資）,financial,財務的
友情與投資（投資）,fund,基金
古典風味（建築、住宅）,architecture,建築
古典風味（建築、住宅）,classic,經典的
古典風味（建築、住宅）,residence,住宅
古典風味（建築、住宅）,heritage,文化遺產
古典風味（建築、住宅）,renovation,整修
古典風味（建築、住宅）,design,設計
古典風味（建築、住宅）,structure,結構
古典風味（建築、住宅）,building,建築物
古典風味（建築、住宅）,floor plan,樓層圖
古典風味（建築、住宅）,interior,室內
古典風味（建築、住宅）,exterior,外觀
古典風味（建築、住宅）,real estate,不動產
古典風味（建築、住宅）,furniture,家具
古典風味（建築、住宅）,contractor,承包商
古典風味（建築、住宅）,brick,磚頭
天氣預報（環境）,forecast,預報
天氣預報（環境）,temperature,溫度
天氣預報（環境）,humidity,濕度
天氣預報（環境）,rainfall,降雨量
天氣預報（環境）,storm,暴風雨
天氣預報（環境）,climate,氣候
天氣預報（環境）,weather,天氣
天氣預報（環境）,fog,霧
天氣預報（環境）,windy,有風的
天氣預報（環境）,sunny,晴天
天氣預報（環境）,cloudy,多雲
天氣預報（環境）,typhoon,颱風
天氣預報（環境）,environment,環境
天氣預報（環境）,global warming,全球暖化
天氣預報（環境）,pollution,污染
重大疾病（健康）,disease,疾病
重大疾病（健康）,illness,病症
重大疾病（健康）,symptom,症狀
重大疾病（健康）,diagnosis,診斷
重大疾病（健康）,treatment,治療
重大疾病（健康）,hospital,醫院
重大疾病（健康）,surgery,手術
重大疾病（健康）,medication,藥物
重大疾病（健康）,prescription,處方
重大疾病（健康）,checkup,健檢
重大疾病（健康）,prevention,預防
重大疾病（健康）,specialist,專科醫師
重大疾病（健康）,emergency,急診
重大疾病（健康）,insurance,保險
重大疾病（健康）,recovery,康復
